num,subset,SMILES,lambda,t12,logt12,solvent,E (J),E (eV),mol
308,2,c1(nc(nc(O)c1N=Nc2c(cc([N+](=O)[O-])cc2)OC)O)O,415,,,ethanol,4.78987951807229E-19,2.98960764776219,C1(NC(NC(=O)C1N=Nc1ccc([N+](=O)[O-])cc1OC)=O)=O
38,2,C(c1sc(N=Nc2sc(c(n2)C(=O)OCC)NCCCC)nc1C(OCC)=O)NCCC,580,,,ethanol,3.42724137931035E-19,2.13911581693329,C(c1sc(N=Nc2sc(c(n2)C(=O)OCC)NCCCC)nc1C(OCC)=O)NCCC
499,1,c1cc(ccc1N(CC)CCC#N)N=Nc2c(cccc2)Cl,412,,,methanol,4.8247572815534E-19,3.01137663548862,c1cc(ccc1N(CC)CCC#N)N=Nc1c(cccc1)Cl
492,1,c1cc(ccc1N(CC)CC)N=Nc2cc(C#N)ccc2,446,,,ethanol,4.45695067264574E-19,2.78180980677424,c1cc(ccc1N(CC)CC)N=Nc1cc(C#N)ccc1
372,5,c1cc(ccc1)N=Nc2c(I)ccnc2,330,413911.734666452,5.61690773910587,toluene,6.02363636363636E-19,3.75965810248882,c1cc(ccc1)N=Nc1c(I)ccnc1
123,5,Cc1noc(c1N=Nc2c(C#N)cccc2)C,325,,,,6.11630769230769E-19,3.81749899637326,Cc1noc(c1N=Nc1c(C#N)cccc1)C
251,5,c1(F)cccc(F)c1N=Nc2ccc(cc2)C(=O)OCC,316,75583.9761970462,4.87842973482913,acetonitrile,6.29050632911392E-19,3.92622523361174,c1(F)cccc(F)c1N=Nc1ccc(cc1)C(=O)OCC
331,1,c1c(NCCC#N)ccc(c1C)N=Nc2ccccc2Cl,408,,,ethanol,4.87205882352941E-19,3.04089993583655,c1c(NCCC#N)ccc(c1C)N=Nc1ccccc1Cl
588,5,c1cc(ccc1N=Nc2ccc(cc2)C#N)NCCC#N,428,,,,4.64439252336449E-19,2.89880180799372,c1cc(ccc1N=Nc1ccc(cc1)C#N)NCCC#N
536,2,c1cc(ccc1N=Nc2ccc(cc2Cl)[N+](=O)[O-])N3CC3,396,,,ethanol,5.01969696969697E-19,3.13304841874068,c1cc(ccc1N1CC1)N=Nc1c(cc([N+]([O-])=O)cc1)Cl
395,5,c1cc(ccc1)N=Nc2n(C)ccc2,385,10661.5384615385,4.02781987796895,acetonitrile,5.16311688311688E-19,3.22256408784756,c1cc(ccc1)N=Nc1n(C)ccc1
439,5,c1cc(ccc1C)N=Nc2c(n[nH]c2C)C,335,477.931034482759,2.67936523237683,acetonitrile,5.93373134328358E-19,3.70354380245167,c1cc(ccc1C)N=Nc1c(n[nH]c1C)C
321,5,c1c(Cl)c(ccc1)N=Nc2c(C)[nH]nc2C,339,171.960297766749,2.2354281884707,acetonitrile,5.86371681415929E-19,3.65984417056434,c1c(Cl)c(ccc1)N=Nc1c(C)[nH]nc1C
707,2,c1ccc(N=NC=2C(=C(C#N)C(N(CC)C=2NCCCOC)=O)C)c(C(=O)O)c1,419,,,ethanol,4.74415274463007E-19,2.96106724062365,c1ccc(N=NC=2C(=C(C#N)C(N(CC)C=2NCCCOC)=O)C)c(C(=O)O)c1
